구분(1),항목별(2),2020
강원도,기타,50140.8
강원도,매립,32602.6
강원도,소각,20117.0
강원도,소계,314959.0
강원도,재활용,212098.6
경기도,기타,550924.8
경기도,매립,129938.4
경기도,소각,383094.6
경기도,소계,3332756.0
경기도,재활용,2268798.2
경상남도,기타,234068.2
경상남도,매립,74770.8
경상남도,소각,70062.8
경상남도,소계,833989.4
경상남도,재활용,455087.6
경상북도,기타,150536.0
경상북도,매립,61371.4
경상북도,소각,166823.0
경상북도,소계,905366.0
경상북도,재활용,526635.6
광주광역시,기타,4513.0
광주광역시,매립,2310.6
광주광역시,소각,30778.6
광주광역시,소계,147872.8
광주광역시,재활용,110270.6
대구광역시,기타,19869.2
대구광역시,매립,23907.8
대구광역시,소각,8053.8
대구광역시,소계,395740.0
대구광역시,재활용,343909.2
대전광역시,기타,7117.6
대전광역시,매립,3722.0
대전광역시,소각,15657.400000000001
대전광역시,소계,95289.0
대전광역시,재활용,68792.0
부산광역시,기타,44115.6
부산광역시,매립,36761.2
부산광역시,소각,89915.6
부산광역시,소계,624204.0
부산광역시,재활용,453411.6
서울특별시,기타,19609.0
서울특별시,매립,3214.4
서울특별시,소각,79898.8
서울특별시,소계,725674.0
서울특별시,재활용,622951.8
세종특별자치시,기타,4255.6
세종특별자치시,매립,37.8
세종특별자치시,소각,13312.2
세종특별자치시,소계,39338.399999999994
세종특별자치시,재활용,21732.8
울산광역시,기타,35858.4
울산광역시,매립,448.0
울산광역시,소각,36915.0
울산광역시,소계,170577.0
울산광역시,재활용,97355.6
인천광역시,기타,22308.4
인천광역시,매립,10523.4
인천광역시,소각,135408.8
인천광역시,소계,856539.0
인천광역시,재활용,688298.4
전라남도,기타,41163.0
전라남도,매립,41952.4
전라남도,소각,96516.0
전라남도,소계,603087.6
전라남도,재활용,423456.19999999995
전라북도,기타,77576.8
전라북도,매립,11124.2
전라북도,소각,72200.8
전라북도,소계,406279.4
전라북도,재활용,245377.6
제주특별자치도,기타,8735.6
제주특별자치도,매립,14533.4
제주특별자치도,소각,20119.8
제주특별자치도,소계,131068.0
제주특별자치도,재활용,87679.2
충청남도,기타,39143.2
충청남도,매립,5861.8
충청남도,소각,110466.6
충청남도,소계,536662.0
충청남도,재활용,381190.4
충청북도,기타,13972.8
충청북도,매립,3077.4
충청북도,소각,40787.0
충청북도,소계,363094.8
충청북도,재활용,305257.6
합계,기타,1323908.0
합계,매립,456157.6
합계,소각,1390127.8
합계,소계,10482496.4
합계,재활용,7312303.0
