"구분(1)","시점",매립지수 (개소),기매립량(전년도 매립량 포함) (m³),매립량 (톤),설치비,설치비,연간유지관리비 (백만원),매립지 관리인원 (명)
"구분(1)","시점",소계,소계,소계,국비,지방비,소계,소계
"부산광역시","2019",1,15566090,232256,88663,275139,4914,31
"부산광역시","2020",1,15872690,229270,88663,275139,4544,33
"대구광역시","2019",1,12971602,322243,19591,195303,8634,52
"대구광역시","2020",1,13366674,347794,19591,195303,8634,52
"인천광역시","2019",5,156889120,2879634,2386,499183,459971,350
"인천광역시","2020",5,159947138,2500943,2386,499183,414490,32
"광주광역시","2019",1,3549399,210767,46860,109340,3832,32
"광주광역시","2020",1,3825186,193053,46860,109340,4402,32
"대전광역시","2019",1,7233887,323741,8043,146115,6598,49
"대전광역시","2020",1,7532103,369464,8043,146115,6736,50
"울산광역시","2019",1,982276,95884,19398,0,1608,16
"울산광역시","2020",1,1086866,75261,19398,0,2839,16
"세종특별자치시","2019",2,75082,2886,1500,1964,334,3
"세종특별자치시","2020",2,80407,3003,1500,1964,192,3
"경기도","2019",9,4183076,103853,49551,84696,5831,45
"경기도","2020",9,4331383,109550,49551,84696,6042,46
"강원도","2019",24,13074226,317501,124150,260643,18327,98
"강원도","2020",24,13346982,320388,124150,260643,13147,119
"충청북도","2019",12,4424760,199842,66381,115886,4458,44
"충청북도","2020",11,4506093,143685,53748,87170,6200,44
"충청남도","2019",15,4460385,107743,50074,165543,6560,66
"충청남도","2020",15,4690916,135009,50074,163543,5662,65
"전라북도","2019",13,7315125,194865,65490,130454,5178,80
"전라북도","2020",13,7486983,183663,45546,130665,7743,88
"전라남도","2019",62,12319507,263391,126716,197889,14624,241
"전라남도","2020",62,12891116,244341,145578,196209,11328,246
"경상북도","2019",33,8575382,238994,103427,244105,14819,182
"경상북도","2020",34,8736564,230242,106429,242393,17626,178
"경상남도","2019",25,13672646,364811,84311,279923,12759,124
"경상남도","2020",25,14090042,362140,81014,283111,12509,117
"제주특별자치도","2019",10,3420040,75118,21317,48527,9966,34
"제주특별자치도","2020",7,1045502,87712,29265,63402,7155,42
