시도(1),항목별(2),2019
강원,계,1866.3
강원,기타,16.4
강원,매립,1127.6
강원,소각,836.0
강원,소계,1866.3
강원,재활용,1752.6
경기,계,9543.9
경기,기타,74.6
경기,매립,1868.4
경기,소각,7253.2
경기,소계,9543.9
경기,재활용,9891.6
경남,계,3552.8
경남,기타,0.0
경남,매립,1126.2
경남,소각,2244.8
경남,소계,3552.7999999999997
경남,재활용,3734.6
경북,계,2367.1
경북,기타,20.4
경북,매립,757.6
경북,소각,2143.4
경북,소계,2367.1
경북,재활용,1812.8
광주,계,1160.2
광주,기타,0.0
광주,매립,1038.0
광주,소각,27.2
광주,소계,1160.2
광주,재활용,1255.2
대구,계,2567.9
대구,기타,0.0
대구,매립,975.6
대구,소각,524.0
대구,소계,2567.9
대구,재활용,3636.2
대전,계,1286.7
대전,기타,27.2
대전,매립,418.8
대전,소각,372.2
대전,소계,1286.7
대전,재활용,1755.2
부산,계,2951.0
부산,기타,0.0
부산,매립,198.0
부산,소각,842.4
부산,소계,2951.0
부산,재활용,4861.6
서울,계,8658.0
서울,기타,19.0
서울,매립,1940.8
서울,소각,4330.0
서울,소계,8658.0
서울,재활용,11026.2
세종,계,325.3
세종,기타,34.2
세종,매립,15.6
세종,소각,170.0
세종,소계,325.3
세종,재활용,430.8
울산,계,1267.5
울산,기타,2.4
울산,매립,309.0
울산,소각,961.0
울산,소계,1267.5
울산,재활용,1262.6
인천,계,1913.8
인천,기타,0.0
인천,매립,676.2
인천,소각,1033.2
인천,소계,1913.8
인천,재활용,2118.2
전남,계,1720.2
전남,기타,25.2
전남,매립,1393.4
전남,소각,670.6
전남,소계,1720.2
전남,재활용,1351.2
전북,계,1578.1
전북,기타,77.6
전북,매립,627.6
전북,소각,902.0
전북,소계,1578.1000000000001
전북,재활용,1549.0
제주,계,959.2
제주,기타,0.0
제주,매립,118.4
제주,소각,521.2
제주,소계,959.2
제주,재활용,1278.8
충남,계,2288.0
충남,기타,42.8
충남,매립,257.8
충남,소각,2006.8
충남,소계,2288.0
충남,재활용,2268.6
충북,계,1906.1
충북,기타,0.2
충북,매립,658.0
충북,소각,1364.8
충북,소계,1906.1
충북,재활용,1789.2
합계,계,45912.1
합계,기타,340.0
합계,매립,13507.0
합계,소각,26202.8
합계,소계,45912.100000000006
합계,재활용,51774.4
